userName,score,at,content
Heni herawati,1,2024-06-04 11:03:08,"Assalamu'alakum. Mohon ma'af sebelumnya saya di tawarkan seseorang di sosial media pinjaman dan berujung penipuan sedangkan saya tidak tau menau bagai mana, karena untuk login kembali di aplikasinya saja susah dan sekarang saya banyak menerima chet penagihan yg terkesan ancaman. Saya ingin buka aplikasinya untuk memberikan bukti""penipuan nya. Tolong bantuan nya."
Kode kredivo odah7r6f3 dpt250k,5,2024-06-04 11:01:32,"Bagus, ini salah satu aplikasi belanja online yang sering saya pakai. Juga buat investasi, itung-itung nabung aja lah. Cuma fitur pencariannya kurang menurut saya, masih sangat terbatas dalam menampilkan barang. Seharusnya walaupun kata kunci yang dicari tidak sesuai, ada sugesti barang yang kira-kira sama dengan yang dicari, sebab barang yang dicari terkadang tidak muncul dengan kata kunci yang saya masukkan. Saya harus klik yang muncul baru melihat di barang lain di bawahnya"
Iksan Sudarta,5,2024-06-04 10:30:42,"Aplikasi yg sangat membatu di saat semuanya ribet dan susah, credivo adalah aplikasi pinjaman yg sangat bagus untuk di gunakan bisnis maupun usaha.semoga limit nya semakin naik"
iwan honda,5,2024-06-04 09:29:09,"Aplikasi ini sangat membantu dan sangat mudah proses nya sangat sangat membantu sekali,cuma sayang skr ke Blokir permanent gara² telat blm 1 minggu krn liburan jd lupa pdahal limit nya sudah di atas 12jt tp ya sudah lah mau gmn lg"
Achmad Didin,5,2024-06-04 08:18:13,"Aplikasi yang bagus udah memberikan kesempatan meskipun sempat di blok sekarang malah di kasih tambahan limit yang tadi nya cuma kasih 100rb sekarang di kasih 2jt semoga kedepan nya bisa tambah limit lagi ,,mksh kredivo"
adjiyuto sumargi,5,2024-06-04 05:40:53,Aplikasinya bagus Dan sangat membantu sekali Prosesnya cepet persyaratan tidak ribet Fitur yang di tawarkan juga lengkap dan gampang untuk menggunakannya
Krista Pratiwi,1,2024-06-04 03:20:29,"Jika sudah bisa di pakai lagi saya kasih bintang lima limit udh 10 jt malah makin susah transaksi,bagusan pas limit kecil lancar lancar aja transaksi!"
wulan fitry,2,2024-06-04 01:30:41,Aplikasinya bagus. Tapi sayang akun udh 5 tahun setiap pengajuan kenaikan limit selalu gagal.. dan kenaikan limit otomatis pun nggak
Khoirul Anwar,3,2024-06-03 22:36:58,Percobaan pertama gagal terdaftar.sementara kasih bintang 3 dulu suruh nunggu 3 bulan daftar lagi. Ya di coba 3 bln lg.kalau memang tdk bisa ya mohon maaf bintang nya nanti turun lg
hery andilumut,5,2024-06-03 22:36:58,"Terimakasih kredivo pelayanannya bagus & selalu lancar, sungguh sangat membantu banget & pokonya harus jd pelanggan setia nih, sukses selalu deh buat kredivo, Kredivo emang thebest,,👍👍"
Diah Andri,5,2024-06-03 22:30:25,"Kredivo membantu dalam keuangan saya. Aplikasinya mudah digunakan. No ribet, pengajuan nya cepat dan ga menunggu waktu yang lama. Suka sekali pake kredivo"
Adi Setiawan,1,2024-06-03 22:17:45,"baru downlod udh cape2 ngisi data eh stelah proses akun jdi gk bisa pinjam,krn blum di apgrade ke premium,kurang bagus mnurut gw ini,jdi tolong data2 yg udh masuk jngan di salahgunakn krn gw akan unistal apk ini skrng pukul 22:17/tgl 3 juni /2024"
Alma Amira,5,2024-06-03 22:12:43,Ada apa dengan kredivo 2 kali ko limit 3 bln saya di tolak terus padahal di jamin 1000% saya ga pernah telat bayar riwayat pemakaian saya juga bagus. Dilihat dr segi apa nya coba Boleh di cek Riwayat pemakaian bagus Riwayat pembayaran super bagus Jd bingung cara penilaian dari segi apa coba...!!!!
Wanda Lie,5,2024-06-03 21:18:16,"Terima kasih kredivo sukses slalu , terima kasih atas kepercayaan nya,,,kalau amanah limit pun naik 😍 🙏 Sedih beberapa bln ini QR dan kartu nya gax bisa d gunakan huhuhuu😭 Kapan bisa pakai lg QR nya biar belanja sepuas nya🤣"
Azlan Hafiz,2,2024-06-03 21:01:33,"Aplikasi saya tiba2 keluar sendiri, dan kebetulan saya lupa sandi pas saya udah ikut tutornya pas ikutin ttp aja gak bisa masuk katanya harus pake hp android hp saya kan android ttp aja gak bisa masuk aplikasinya"
Abdurrohim,5,2024-06-03 20:21:43,Aplikasi yang sangat keren.. bisa bli plsa/kuwota dgn mudah di tgl tua.. keren trmksih kredivo..
Adhi thea,1,2024-06-03 17:20:38,Sya pake keridivo udah 2 tahun lebih. Tiap bulan ga pernah kosong pasti ad pembayaran di apk kredivo.. Selama 2 tahun lebih hampir 3 tahun. Pembayaran saya blm pernah telat.. Tpi kenapa scor saya sampai 2 x turun. Dari A. Ke B. Dari B turun lagi ke C. Madsud nya ap. Jujur aj saya krcewa.. Klw tau kaya ginih ga akan saya pertahankan apk kredivo🙏
Neng rani Srimulyani,5,2024-06-03 17:20:03,"Mantap sekali.. sangat membantu dikala tanggal"" tua nunggu gajihan.. cuman sayang limitnya gk naik"" nih. Padahal pake kredivo sudah lumayan lama dan pembayarannya pun selalu di bayarkan sebelum jatuh tempo.."
Muhammad Yadi,2,2024-06-03 16:56:36,Udah hampir 4 tahun pake aplikasi ini dan bayar pun lancar terus ngga pernah telat dan baru baru ini dan pertama kali juga bayar tagihan nya telat itupun ngga sampe satu bulan udah disamperin kerumah giliran dibayar mau transaksi lagi mau beli pulsa di tolak terus aplikasi norak baru sekali telat bayar 😡
Gusti Ayuweda,5,2024-06-03 11:52:01,"Hallo kredivo selamat siang, kak tolong bantu dong, sy mau bayar tagihan, tp aplikasi kredivonya gk bisa dibuka, ini sebenarnya gangguan dari kredivonya atau gimana, mohon solusinya ya🙏"
Silvia Herawati,2,2024-06-03 11:32:03,"solusi belanja dg cicilan ringan proses cepat dan murah hanya pada kredivo masalah bisa teratasi tanpa ribet pinjam sama sini , kapan lagi bisa semudah ini dan selancar ini dalam bertransaksi ketika dana belom tersedia segera lah instal kredivo maka masalah anda akan teratasi dengan mudah dan dibantu juga oleh personil yang handal keren pake bangetdeh kredivo ini yuk bersegeralah kapan lagi bisa memenuhi kebutuhan primer tanpa berpusing ria Krn di Kredivo persyaratan mudah sekali"
Kios Harahap,5,2024-06-03 11:26:56,"semoga sukses terus, tapi utk limitnya kalau bisa setiap bulan di update sesuai yg sdh kita bayar, jgn nunggu selesai cicilan baru balik limitnya.. pasti lebih asyik pake kredivo"
M Agung Iskandar,5,2024-06-03 11:21:48,# (ulasan awal ) mantapppp . proses mudah dengan catatan bersih dan asli. Sesimpleee ituuu. Gampang bngetttt transaksinys. # (ulasan ke 2) Sekarang gk semua bisa pakai Qris. Jdi skrng belanja menurun. berasa kurang flexible nya. Kenapa gk biat aturan baru lagi. Kusus pengguna premium bisa pakai Qris All payment.
Chelly /kandar,5,2024-06-03 11:07:19,"Knpa ini kesana² aplikasi kredivo nya,,sering² error',dan limit nya juga kurang..dan knpa lgi ini aplikasi nya,tidak bisa top up ke gopay ini..kmarin² bagus dan lancar klo mau top up k gopay.tpi ini skrng tidak bisa.knpa? Sering di update ini aplikasi,tpi sering error'"
Donkey Sultan,1,2024-06-03 10:42:07,Kita bayar beserta bunga nya kenapa dipersulit pengajuan selanjutnya apalagi gagal nunggu sebulan. Makin gak jelas kredivo jangan di install. Beberapa kali di suruh ganti bintang n postingan saya males emang apa untungnya. Aplikasi merugikan
Abdul Karim,1,2024-06-03 10:25:02,"Udah sering belanja tokped , pulsa dan lain lain lewat aplikasi ini . Pembayaran juha lancar . tapi baru kali ini telat sehari aja dendanya 61 ribu . Bener bener kelewatan ni aplikasi . Lintah darat"
KANG ASEP,5,2024-06-03 09:39:28,"Allhamdulillah sangat membantu Saya pada saat sangat diperlukan, Costumer service Ramah Proses sangat cepat ketika persyaratan telah dilengkapi.. Terima kasih CREDIVO"
Oktaviani Handoko,3,2024-06-03 08:46:41,"Kredivo ini kebiasaan ga pernah di cek dlu apa gimana ? orang udah bayar lunas masih terus di telponin di tagihin, padahal bayarnya sampe tgl yang masih lama, tapi ditelpon tetep minta harus dibayar. Udh di kasih info jam pembayaran, jumlah sama via pembayaran tp ttp masih harus di bayar, aing teh mau bayar apaaaaaaa"
Anak agung istri Oka swastini,5,2024-06-03 07:48:41,"Pake kredivo beli pulsa ,token lebih cepat ada banyak paket diskon intinya bayar tepat waktu pasti banyak untungnya ,proses untuk pinjaman juga cepat"
Elly Sari,1,2024-06-03 07:03:07,"Ga pernah telat tapi cicilan lagi ga bisa..kasihan sama org"" yg ga pernah galbay dipersulit..padahal kredivo bunga paling murah,naik limit juga sulit banget hadeh"
Mifta Khul,1,2024-06-03 06:50:32,Aplikasi pinjol gila.... masa udah melunasi padahal gk prnh telat. Slalu byar tepat waktu trun limit lagi mau pinjm lgi kok di tolak. Aplikasi macam apa ini.. nyesel udah pke kredivo
Jasmin Jamaludin,3,2024-06-03 06:35:57,Asalnyaa saya suka pake kredivo saat pertama kali meminjam do krediflazz nyaa lancar pas mau ke 3 x nya gak bisa padahal bayar tepat waktu dan sudah di lunasin pula tapi gak bisa dipakai terus ada limit tapi gak bisa dipakai aneh
Novian Eko Jatmiko,1,2024-06-03 06:16:33,"Jadi malas pake kredivo...selalu bayar tepat waktu & tidak pernah lewat jatuh tempo tp limit gak bisa di gunakan untuk transaksi,setelah selesai sdh g' mau pake kredivo lagi & bkl hapus...semakin parah nich kredivo...bayar gak lewat jatuh tempo tetep aja limit g' bisa di gunakan...malah di kasih score turun...PARAAAAHHHH!!!"
Isikode FAAVU6 dapat11jt,5,2024-06-03 02:48:13,"Kredivo semakin depan yang lain mah jauh tertinggal di belakang, dari begitu banyaknya aplikasi belanja,keuangan,pinjaman ,hanya aplikasi ini yang terbaik, pengembalian pinjaman yang harus dikembalikan sangatlah terjangkau karena bunga dan cicilannya sangat ringan, menjadi tambah suka dengan layanan yang fast respon dan juga untuk fiturnya yang lengkap & banyak kegunaannya, pengajuannya juga sangat mudah syarat syarat yang diminta pun juga simple, buat yang cari pinjaman ini sangat recommended"
Muhammad Abdullah Syakir,5,2024-06-03 02:46:17,"Yesss mantabb udh bisa transaksi lagi, and gua juga ga mau telat bayar lagi takut di hukum, cape nunggu 7 bulan baru bisa di gunain lagi, udh limit nya gede bunga kecill dimana lagi kalo bukan THE KING OF CICILAN DAN PINJAMA KREDIVO....."
rudi setiawan,1,2024-06-02 23:47:18,"Melakukan transaksi pembelian Di shopee dan tokopedia kenapa transaksi saya selalu di tolak. Saya sebagai pengguna kredivo merasa kecewa dengan peraturan kredivo. Padahal saya tidak pernah telat pembayaran sedikitpun. Kalau transaksi d tolak gini harus selalu batal tiap mau beli barang di merchant shopee maupun tokopedia. Harap d ganti peraturannya krn saya pengguna kredivo yg tidak bermasalah. Makin lama makin ribet, akun saya jd jelek krn pembayaran sll d batalkan krn kendala transaksi kredivo"
Irma Endah,5,2024-06-02 23:20:10,"Disaat lagi mendadak membutuhkan uang cash untuk keperluan mendesak kredivo solusi nya, cepat dan ga ribet...trims kredivo selalu di hati pokona mah..( naikin donk limit nya...hehehehe )😘"
Chyqa Dominique,1,2024-06-02 17:47:10,"Makin kesini malah TIDAK JELAS KEBIJAKANNYA. Gak pernah ada masalah saat pembayaraan, pas dilunasin dengan nominal besar malah gabisa buat transaksi lagi. Tim CS nya pun TIDAK KOMPETEN, tidak bisa menjelaskan detail permasalahannya. Jwaban monoton itu-itu saja, berasa ngomong sama robot"
Dedy Jay,5,2024-06-02 15:58:55,"Sangat membantu sekali,,di saat tidak ada uang cash utk belanja & transaksi tapi bisa menggunakan kredivo,,,ini bener Keren pokoknya mah👍"
Diq Junaidi,4,2024-06-02 15:42:44,Aku kasih bintang 4 dl karena mau transaksi setiap hbs pembayaran selalu dipersulit.. Padal pembayaran tdk pernah telat.. Selalu bayar sebelum jatuh tempo
Fadillah Mayangsari,2,2024-06-02 14:21:55,"Aplikasi bagus selama ini pakai gapernah telat, bahkan saya bayar sebelum jatuh tempo. Tapi kenapa pas saya mau ajukan pinjaman dengan nominal yang sama tidak bisa lagi? Tolong yaa karena aplikasi kalian sangat membantu sekali."
Lela Yani,5,2024-06-02 13:16:05,"Hebat, luar biasa, mudah untuk meminjamnya, bisa dicicil bunga seimbang, cuman kalau bisa untuk biaya administrasi nya kecilkan lagi terimakasih"
Nana Nene,1,2024-06-02 11:34:21,"Mohon maaf, bintang saya turunin. Saya dpt limit 1jta tpi tidak bisa saya gunakan. Saya benar2 kecewa. Mau pake buat blanja di indomaret saja saya takut. Pas di kasir mau bayar pake barcot kredivo ditolak malu saya nnti. Intinya kredivo buat saya tidak recomended"
Shifaa Ali,5,2024-06-02 10:57:59,"Aplikasi pinjaman yang sangat the best ,, bsa buat di saat lagi butuh , transfer nya cpt , bayar nya gak ribet .. Pokonya kredivo the best bangt 🔥🔥🔥🔥🔥🔥👍👍👍👍👍👍"
Pintore Jh,1,2024-06-02 09:35:55,"Sudh byar ga pernah terlambat tapi ada limit ga bisa pakai ga ngerti, akun ga aman bagaimana mksdnya? Blm pernah yg namanya kash OTP atau akses ke orglain Yg pakai saya sendiri saat ini dan selama ini bertahun2 blm pernah telat byr Dan penilaian A 🤔 mau transaksi ga disetujui pdhal limit mash bisa dipakai dan cukup untuk transaksi. perbaiki aplikasinya,mau aplikasi apapun ga bs transaksi sungguh mengecewakan,pdhal ga melanggar apapun sialan! Byr pas jatempo saja mulai skrg !! Ajk"
deni Ardiana,5,2024-06-02 08:54:46,"Walau bagaimanapun kredivo mmg membantu dibanding saudaraku yang kaya cuma limit 30jt tapi tidak serasa ada limit 30 ,,tolong dong sistem pinjaman ya di audit lagi sdh saja sama ratakan ga ada istilah 12kali, 6kali, 3 kali atau 30 hari,,,barapa kami pakai itu limit ya sisa dari pinjamannya bisa digunakan Juga ga usah nunggu lunas dulu baru bisa digunakan,,itu yang dibayar maka itu yang bisa digunakan,,,,juga yang menjadi kendala,, pembatalan mmg limit di kembalikan tapi point tidak di balikin"
Madsyahri,1,2024-06-02 06:39:50,Ok.kredivo PHP( pemberi harapan palsu)sudah dilunasi tagihan tepat waktu.bahkan belum waktunya bayar sy sudah lunasi semua.tetapi akun di blokir permanen.
Putri Septiani,5,2024-06-02 06:32:58,"aplikasi sangat membantu kebutuhan ,mudah d gunakan sangat cepat utk meminjam bunga y pun rendah ,terimakasih kredivo"
IsiReff〝 ANDRDWE 〞 DptPoint 1OOk,5,2024-06-02 06:29:33,"Sesuai judul nya aplikasi kredivo yang digunakan semua kalangan dan termasuk ringan serta ada banyak fitur yang keren didalam nya,suka sih sangat suka,sudah lama pemakaian selalu bisa merasakan kenyamanan pada saat mengajukan pinjaman hingga berbelanja barang elektronik secara online,untuk pengguna nya di perangkat berkapasitas rendah dan termasuk nyaman."
Wandi Santoso,5,2024-06-02 05:11:12,Terimakasih.... Sekarang udah bisa gunakan untuk transaksi QRIS Barcode selain QRIS/BARCODE KREDIVO... krna sudah di buka kembali layanan untuk QRIS/BARCODE untuk semua transaksi di semua merchant.. Mksh...
Isi kode odah7r6f3 dpt 250k,5,2024-06-01 23:01:59,"Saya telah mengunjungi platform ini berkali kali dan kagum dengan berapa cepat dan mudahnya proses pendaftaran, jangka waktu pelunasannya juga lumayan lama dengan tingkat persetujuan yang sangat tinggi dengan bunga cicilan yang sangat ringan, fiturnya juga sangat lengkap dengan tampilan yang sederhana tapi tetap enak dilihat, Anda juga dapat mengajukan permohonan untuk jumlah yang sesuai dengan melengkapi data, semakin tinggi data yang diberikan semakin tinggi limit"
basmah band,1,2024-06-01 22:29:57,"sangat tida puas dengan aplikasi kredivo sekarang, cuman gara2 transaksi tida sah eeehhh malah akun d blokir, padahal transaksi nya juga gk d setujui, terus suruh bayar semua tagihan berikut tagihan bulan depan juga harus d lunasi ,begitu d lunasin semua eeehhh malah d blokir permanen dasar aplikasi aball, jangan mau pake kredivo lagi,"
Alif Mkw,1,2024-06-01 18:17:05,Baru juga daftar ga di setujui. Data lengkap jangan2 ini aplikasi...p cuma mau ambil data orang kalau ga bisa jgn ambil data2 orang.di hapus aja aplikasi bangke
buronan mitoha,3,2024-06-01 18:14:33,"Kurangin lagi bintang nya, soal nya , bayar tepat waktu, gx pernah telat. Eh pinjaman juga susah cair. Bukannya dapat otomatis ke premium . Malah stuck. Maap kredivo"
Sandy Kurniawan,1,2024-06-01 17:47:40,"Makin ga jelas, transaksi ditolak terus,ntah apa alasannya. Padahal barang yang dibeli bukan barang berbahaya,tolong kasih alasan kenapa di tolak. CS nya juga ga jelas, sekarang ini aplikasi kek cuma mau ngambil keuntungan dri bunga yg di bayar sama nasabah doang."
Andina Desyandra,2,2024-06-01 17:33:41,"Status grade B, disruh perbaiki score/gradenya tapi tidak bisa transaksi. Disuruh cek berkala terus tapi dicoba gabisa"", nungguin sampe tahun kapan baru bisa ?"
Siti Nurrizki,5,2024-06-01 16:15:33,Sejauh ini si ok ok ajh. Cuma yg bikin gk suka tuh jumlah pinjaman gk menetap dapat nya masih ada potongan. Misal pinjam 500 dapat nya 450. Gk seperti akulaku.
andi purma,1,2024-06-01 16:15:15,"Dulu enak, bsa pake barcode, kartu flexi juga bisa digunakan disemua toko yg ada alat dgn logo gpn, tpi sekarang semuanya ga bisa."
yuda kurniawan,5,2024-06-01 12:00:43,Sangat membantu. Disaat isi dompet penuh dengan bawang merah..hehe.. canda bawang..!!! Good aplikasi semoga saya dpat limit lebih lagi. Dan bunganya dikurangin
Nur Khotimah,5,2024-06-01 11:58:30,"Semua menjadi mudah dengan kredivo, topup pulsa atw paket internet belanja offline dan online store juga mudah, thanks kredivo.... aplikasi vinansial terbaik, bisa belanja On line dan 0ff line, naik level yessssss thank's kredivo 😘😘😘😘😘😘😘"
Widi Irawan,1,2024-06-01 11:03:43,"Paylater 12 bulan, Tapi di tagih setiap 30 hari sekali, otomatis saat yang ada tgl 31 dalam satu bulan di tagih 2 kali, yang lebih parahnya, saat telat bunganya 10%/hari dari setoran yang di tagih. Jauh rekomendasi shopee paylater untuk yang 6 bulan ke atas"
Yusuf Saepudin,5,2024-06-01 10:45:34,"Aplikasi yg bagus, mudah digunakan. Segala kebutuhan semua ada, sampai kredit barangpun bisa."
Anton Banjar,5,2024-06-01 09:44:45,Salam sukses buat kredivo. Aplikasi yang bunga ringan. Cara pakainya mudah. Pokoknya aplikasi yang bagus dan mantap.kalo ada bintang 10 ku kasih 10
Khorinah Untoro,2,2024-06-01 07:35:56,"Saya turunkan bintangnya dikarenakan aplikasi makin kesini makin gak jelas, Score diturunkan tapi disuruh lagi naikin score sementara untuk transaksi apapun sekecil apapun selalu gagal. So keputusan saya adalah mulai hari ini 1 juni 2024 saya sudah uninstall aplikasi ini, Terimakasih"
Ivon Syarif,5,2024-06-01 07:19:15,aplikasi yang bagus untuk kebutuhan dadakan. cuman kenapa aku saya ngk premium smpai skrang ya?! pdhal sudah gunain dari 3 tahun lalu
WASOL Wawasan Online,5,2024-06-01 06:49:09,"Kredivo parah kalo ngambil barang telat sehari doang denda sampai 42ribu, sebelumnya saya gak pernah telat tuh bayar malah maju trus Karna sistem kredivo ini dari bayar awal tgl 5 sampe maju sebulan 2 kali bayar. Untuk kredivo ya tolong diperbaiki lagi sistem pembayaran minimal sesuai tgl pengambilan lah jangan ujung"" nya maju trus bayar yg sebulan sampe 2 kali bayar."
al j,5,2024-06-01 01:55:33,"Membantu sekali, kredivo terbaik dan sesimple itu..thx selalu membantu. Smg limit saya bertambah dan mendapat kan kartu / award . Sbg pengguna lama .. semakin banyak poin selesai pembayaran.. apakah poin bisa di uang kan?. Mau kasih bintang 6 gak bisa yah? Kredivo sesimple itu dan sangat membantu.. Trima kasih"
RE'Ṩ Seภקai,5,2024-06-01 01:11:07,"alhamdulillah, terima kasih apk kredivo ini mempermudah segalanya, Untuk tenggat waktunya juga sesuai, dan bunganya juga renda,. tetap jadi lebih baik ya kredivo"
Aris Prasityo,5,2024-05-31 23:13:37,"pokoknya membantu banget dengan adanya kredivo, persyaratan gampang banget dan cepet cairnya mantap pokoknya, kalo bisa sih bunganya agak diturunin itu aja sih masuknya makasih kredivo.mantap markotop pokoknya."
Najli Najli,1,2024-05-31 23:02:47,"Makin lama makin tdk jelass app nya, Limit nya naik Tapi ngga bisa d gunakan utk transaksi apapun,sama aja bohong namanya, appny udah tidak sprti dulu lg."
Mufid Sensei,5,2024-05-31 22:48:19,"Sangat membantu disaat membutuhkan dana cepat, permintaan saya tolong kurangi persentase biaya adminnya, biaya 6% itu cukup besar bagi sebagian besar orang, berharap dikurangi. Sekian, Terimakasih"
chandra halim,4,2024-05-31 22:25:45,"Sangat meringankan dalam proses pembayaran, cepat, mudah & Aman! Namun sekarang dipersulit untuk transaksi karna beberapa hal' pembelian/transaksi tidak bisa diproses oleh kredivo! Sangat disayangkan😔, padahal udah setia & lama pakai Kredivo."
Zulkhairi Tanjung,5,2024-05-31 22:22:05,"transaksi cepat,, Mantap di kasih limit kita🙏👍👍 Pencairan pinjaman cepat, cuma bunga agak tinggi,,😥😥 Mudah2an kedepan bisa mengurangi bunga pinjaman,, dan kredivo sangat membantu keuangan ku 🙏tiga kali pengajuan ditolak trus,, dikasih bintang dua aja, ntar klu acc baru lima lagi bintangnya,,limit naik cuma bunga masih tinggi"
Aisya Rahman,1,2024-05-31 21:52:49,"Apk ga jelas,ketika limit sudah naik ,gara gara kesalahan dari DC yang tidak membayar kan tagihan saya,akhirnya saya bayar dua kali,sekarang akun saya di tangguhkan permanen,logika nya pikir,kita late bayar ,( denda dan bunga) masih untung kan,begitu bayar langsung di tangguhkan permanen,mending ga usah di bayar sekalian,"
Riki Andrea,1,2024-05-31 21:32:40,Maaf ratingnya saya turunkan.. karna aplikasinya sekarang susah.. untuk transaksi susah. Ngga bisa terus..tolong segera diperbaiki
Lisa Andriyani,5,2024-05-31 19:41:08,Mksi udh ciptain aplikasinya ..sangat membantu aku saat lagi kepepet ..udh 2 thn pakai kredivo ...cmn kecewanya knp setiap belnja contoh:belnja 250rb saldo 2jt yg trpotong 500rb trptong gk sesuai belanjaan kt .lebih bnyk yg trpotong .walaupun gk ngaruh sih sm tagihan kita
Candra ramadhan,1,2024-05-31 19:36:35,"user kredivo sudah 3 tahun, dan selalu bayar tepat waktu tiap gajian. pernah sekali ada masalah gaji juga sudah koordinasi dengan team penagihan dan masalah beress.. sekarang akun di banned permanen!!! cuman karena paman mau ikut ambil cicilan pulsa 25rb gk bisa karena notif pembelian tidak sah, langsung di banned sementara karena dianggap melanggar keamanan dan harus melunasi semua tagihan yg ada!! sudah saya bayar semua namun malah di banned PERMANENN 😡🤬🤬 konyol sekali aplikasi satu ini"
Maria Rasya,5,2024-05-31 19:17:59,"Terima kasih bnyk kredivo sdh memberi kepercayaan kembali untuk pinjaman tunainya🥰🥰Sangat membantu & proses cepat👍👍👍sy sdh pakai berkali"" pinjaman prosesnya cepat hny 5 detik cair kembali msk ke rekening lngsng,untuk belanja online & belanja yg krjsm dngn kredivo sngt mudah apalagi bunga 0% & jika byr tepat wkt trs diksh kenaikkan limitnya yg sngt memuaskan🥰👍...Alhamdulillah jg sy tdk ada kendala apapun dr pihak kredivonya...🤭😁Thanks kredivo & makin sukses trs🙏🙏🙏🥰🥰🥰🥰🥰😍"
Joni Areski,1,2024-05-31 18:45:10,"Jangan ambil kredit di sini,ini pengalaman saya,saya kredit hp,masak telat 1 hari sampai 2 hari pembayaran saja,tenornya bertambah,saya ambil 6 bulan menjadi 7 bulan,sedangkan kita ambil motor saja bunganya kalau kita telat bayar gak sebesar itu,jadi jangan terkecoh sama cicilan kecil dari kredivo,itu hanya kebohongan semata...terima kasih"
Agung Saputra,5,2024-05-31 18:32:01,Memang sangat membantu dan bunganya sangat kecil.. Pokoknya saya sangat merekomendasikan aplikasi ini sangat dipercaya.... Kredivo sangat bagus . responnya dan dapat dipercaya
rizki alfath,5,2024-05-31 15:21:35,"Saya sudah melakukan pembayaran namun kenapa belum terpotong mohon dibantu untuk segera update di pinjamannya,karena saya tidak pernah terlambat membayar namun hari ini saya membayar sebelum jatuh tempo belum terpotong."
Suri Miyank,5,2024-05-31 15:18:58,"Tidak rugj pake kredivo, bunga sangat rendah, limit juga tinggi,pokoknya is the best lah apalagi pembelian pulsa dan paket data, saya sarankan download kredivo aja.. Terpercaya dan handal dan saya pake kredivo sudah lebih dari dua tahun"
akbar hasibuan,1,2024-05-31 15:16:29,"saya sudah hampir setahun pakai kredivo, naik limit susah dan tidak bisa padahal kredit point saya 117.596 dilevel finalis. bahkan kredit score saya yang awal nya A berubah jadi B padahal saya sedang berada di proses peminjaman."
